model,source,target,regime,T,ece_temp,ece_platt,ece_raw
tinybert-l2,trec-dl-2019,dbpedia-entity,single,8.451099133079314,0.19256591816998547,0.041634555478264744,0.28079771610499044
tinybert-l2,trec-dl-2020,dbpedia-entity,single,10.691411076349695,0.19129530831999414,0.1593366715175545,0.28079771610499044
tinybert-l2,webis-touche2020,dbpedia-entity,single,11.081017457656968,0.19184850639596898,0.4306320382077706,0.28079771610499044
tinybert-l2,LODO,dbpedia-entity,lodo,8.562698581713242,0.19124664146833703,0.034984127825975056,0.28079771610499044
tinybert-l2,trec-covid,trec-covid,oracle,6.475647754267066,0.0553598708298456,0.0567159675459554,0.2760267762126459
tinybert-l2,dbpedia-entity,trec-covid,single,6.746783919426322,0.04908843573410023,0.15829237489195053,0.2760267762126459
tinybert-l2,trec-dl-2019,trec-covid,single,8.451099133079314,0.0661662012441523,0.1791512617562232,0.2760267762126459
tinybert-l2,trec-dl-2020,trec-covid,single,10.691411076349695,0.07225649341752255,0.35484585693545123,0.2760267762126459
tinybert-l2,webis-touche2020,trec-covid,single,11.081017457656968,0.07562903490590557,0.18297534717846034,0.2760267762126459
tinybert-l2,LODO,trec-covid,lodo,8.182572611260152,0.06595228905644872,0.2057951134594121,0.2760267762126459
tinybert-l2,trec-dl-2019,trec-dl-2019,oracle,8.451099133079314,0.1728713332262643,0.045696259564184626,0.32476386899356335
tinybert-l2,dbpedia-entity,trec-dl-2019,single,6.746783919426322,0.177625979708002,0.07436838935174013,0.32476386899356335
tinybert-l2,trec-covid,trec-dl-2019,single,6.475647754267066,0.1785512827498336,0.1770486410375109,0.32476386899356335
tinybert-l2,trec-dl-2020,trec-dl-2019,single,10.691411076349695,0.16979110248690565,0.16645386051293318,0.32476386899356335
tinybert-l2,webis-touche2020,trec-dl-2019,single,11.081017457656968,0.168001641515329,0.42347599133888925,0.32476386899356335
tinybert-l2,LODO,trec-dl-2019,lodo,7.691505790140263,0.17478756470878748,0.068894242606087,0.32476386899356335
tinybert-l2,trec-dl-2020,trec-dl-2020,oracle,10.691411076349695,0.343020605518916,0.028575318014952587,0.3948999321277538
